Date;VALE3.SA;LREN3.SA;CMIG3.SA;OIBR4.SA;BBDC3.SA;ITSA4.SA;USIM5.SA;BRML3.SA;PETR3.SA;VIVT4.SA;ENBR3.SA;RADL3.SA
2018-09-20;59.31999969482422;;6.619999885559082;1.940000057220459;21.11669921875;9.760000228881836;8.050000190734863;9.65999984741211;22.989999771118164;38.95000076293945;12.510000228881836;77.02999877929688
2018-09-21;61.0099983215332;;6.860000133514404;2.119999885559082;21.549999237060547;9.869999885559082;8.479999542236328;9.880000114440918;23.270000457763672;38.90999984741211;12.890000343322754;77.69999694824219
2018-09-24;60.20000076293945;;6.679999828338623;2.0399999618530273;20.83329963684082;9.59000015258789;8.289999961853027;9.5;23.149999618530273;38.20000076293945;12.770000457763672;74.33999633789062
2018-09-25;62.20000076293945;;6.53000020980835;1.9800000190734863;21.066699981689453;9.670000076293945;8.399999618530273;9.449999809265137;23.270000457763672;38.040000915527344;12.640000343322754;73.44000244140625
2018-09-26;60.0099983215332;;6.570000171661377;2.0199999809265137;21.38330078125;9.760000228881836;8.40999984741211;9.579999923706055;23.360000610351562;38.959999084472656;12.65999984741211;72.69999694824219
2018-09-27;59.47999954223633;;6.539999961853027;1.9900000095367432;21.86669921875;10.050000190734863;8.430000305175781;9.819999694824219;24.5;40.099998474121094;12.9399995803833;74.19999694824219
2018-09-28;59.81999969482422;;6.550000190734863;2.009999990463257;21.45829963684082;10.100000381469727;8.319999694824219;9.619999885559082;24.229999542236328;39.20000076293945;12.789999961853027;72.43000030517578
2018-10-01;60.400001525878906;;6.510000228881836;1.9700000286102295;21.283300399780273;9.989999771118164;8.020000457763672;9.609999656677246;24.18000030517578;38.79999923706055;12.640000343322754;71.30000305175781
2018-10-02;61.20000076293945;;6.940000057220459;2.0299999713897705;22.75;10.399999618530273;8.5;10.029999732971191;25.809999465942383;39.779998779296875;13.15999984741211;72.51000213623047
2018-10-03;59.95000076293945;;7.300000190734863;2.0799999237060547;23.850000381469727;10.739999771118164;8.880000114440918;10.449999809265137;26.479999542236328;40.599998474121094;13.670000076293945;74.0
2018-10-04;58.79999923706055;;7.46999979019165;2.4800000190734863;23.649999618530273;10.65999984741211;9.079999923706055;10.680000305175781;26.760000228881836;39.95000076293945;13.819999694824219;74.16000366210938
2018-10-05;57.4900016784668;;8.0;2.359999895095825;22.95829963684082;10.529999732971191;9.020000457763672;10.489999771118164;26.65999984741211;39.150001525878906;13.8100004196167;72.75
2018-10-08;57.04999923706055;;9.529999732971191;2.359999895095825;24.16670036315918;11.170000076293945;10.0;11.199999809265137;29.190000534057617;40.349998474121094;13.90999984741211;74.25
2018-10-09;57.70000076293945;;9.699999809265137;2.3399999141693115;24.200000762939453;11.079999923706055;10.010000228881836;11.5;29.729999542236328;39.16999816894531;14.0;73.27999877929688
2018-10-10;55.88999938964844;;9.5600004196167;2.25;23.16670036315918;10.8100004196167;9.270000457763672;11.380000114440918;28.6299991607666;38.5;13.670000076293945;71.7699966430664
2018-10-11;56.47999954223633;;10.130000114440918;2.25;23.299999237060547;10.75;9.3100004196167;11.319999694824219;28.100000381469727;38.29999923706055;13.609999656677246;67.4800033569336
2018-10-15;57.66999816894531;;10.289999961853027;2.2300000190734863;23.54170036315918;10.819999694824219;9.670000076293945;11.069999694824219;28.75;37.59000015258789;13.920000076293945;67.48999786376953
